35 35,0.0000290000,0
25 25,0.0000360000,0
35 45,0.0000480000,10
5 5,0.0000480000,0
45 45,0.0000540000,0
25 35,0.0000610000,10
55 55,0.0000740000,0
45 55,0.0000790000,10
25 15,0.0000790000,10
45 35,0.0000880000,10
55 45,0.0000920000,10
15 15,0.0000930000,0
35 25,0.0000980000,10
35 15,0.0001070000,20
5 15,0.0001190000,10
15 5,0.0001300000,10
25 5,0.0001530000,20
15 25,0.0001570000,10
15 35,0.0001950000,20
55 35,0.0002340000,20
45 25,0.0002390000,20
5 25,0.0002520000,20
35 55,0.0003260000,20
25 45,0.0003540000,20
35 5,0.0007120000,30
45 15,0.0011030000,30
55 25,0.0011090000,30
5 35,0.0012320000,30
15 45,0.0013870000,30
25 55,0.0014930000,30
45 5,0.0032300000,40
55 15,0.0038480000,40
5 45,0.0046050000,40
15 55,0.0050040000,40
55 5,0.0088830000,50
5 55,0.0105450000,50
